"Psi","F_Psi","PedigreeNodeId","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
0.05,0.011885,141,1,0.5,26.123,5.0551,0
0.1,0.02377,141,1,1,26.123,5.0551,0
0.15,0.035655,141,1,1.5,26.123,5.0551,0
0.2,0.047537,141,1,2,26.123,5.0551,0
0.25,0.059415,141,1,2.5,26.123,5.0551,0
0.3,0.071283,141,1,3,26.123,5.0551,0
0.35,0.083137,141,1,3.5,26.123,5.0551,0
0.4,0.094976,141,1,4,26.123,5.0551,0
0.45,0.1068,141,1,4.5,26.123,5.0551,0
0.5,0.11861,141,1,5,26.123,5.0551,0
0.55,0.13041,141,1,5.5,26.123,5.0551,0
0.6,0.14219,141,1,6,26.123,5.0551,0
0.65,0.15397,141,1,6.5,26.123,5.0551,0
0.7,0.16572,141,1,7,26.123,5.0551,0
0.75,0.17746,141,1,7.5,26.123,5.0551,0
0.8,0.18918,141,1,8,26.123,5.0551,0
0.85,0.20088,141,1,8.5,26.123,5.0551,0
0.9,0.21257,141,1,9,26.123,5.0551,0
0.95,0.22422,141,1,9.5,26.123,5.0551,0
1,0.23583,141,1,10,26.123,5.0551,0
1.05,0.2474,141,1,10.5,26.123,5.0551,0
1.1,0.25892,141,1,11,26.123,5.0551,0
1.15,0.2704,141,1,11.5,26.123,5.0551,0
1.2,0.28184,141,1,12,26.123,5.0551,0
1.25,0.29323,141,1,12.5,26.123,5.0551,0
1.3,0.30456,141,1,13,26.123,5.0551,0
1.35,0.31581,141,1,13.5,26.123,5.0551,0
1.4,0.32698,141,1,14,26.123,5.0551,0
1.45,0.33808,141,1,14.5,26.123,5.0551,0
1.5,0.34911,141,1,15,26.123,5.0551,0
1.55,0.36009,141,1,15.5,26.123,5.0551,0
1.6,0.37096,141,1,16,26.123,5.0551,0
1.65,0.38172,141,1,16.5,26.123,5.0551,0
1.7,0.39232,141,1,17,26.123,5.0551,0
1.75,0.40276,141,1,17.5,26.123,5.0551,0
1.8,0.41305,141,1,18,26.123,5.0551,0
1.85,0.42317,141,1,18.5,26.123,5.0551,0
1.9,0.4331,141,1,19,26.123,5.0551,0
1.95,0.44277,141,1,19.5,26.123,5.0551,0
2,0.45215,141,1,20,26.123,5.0551,0
2.05,0.46118,141,1,20.5,26.123,5.0551,0
2.1,0.46985,141,1,21,26.123,5.0551,0
2.15,0.47815,141,1,21.5,26.123,5.0551,0
2.2,0.48606,141,1,22,26.123,5.0551,0
2.25,0.49355,141,1,22.5,26.123,5.0551,0
2.3,0.50059,141,1,23,26.123,5.0551,0
2.35,0.50719,141,1,23.5,26.123,5.0551,0
2.4,0.5134,141,1,24,26.123,5.0551,0
2.45,0.51929,141,1,24.5,26.123,5.0551,0
2.5,0.52497,141,1,25,26.123,5.0551,0
2.55,0.53051,141,1,25.5,26.123,5.0551,0
2.6,0.536,141,1,26,26.123,5.0551,0
2.65,0.54148,141,1,26.5,26.123,5.0551,0
2.7,0.54701,141,1,27,26.123,5.0551,0
2.75,0.55258,141,1,27.5,26.123,5.0551,0
2.8,0.55817,141,1,28,26.123,5.0551,0
2.85,0.56372,141,1,28.5,26.123,5.0551,0
2.9,0.56916,141,1,29,26.123,5.0551,0
2.95,0.57442,141,1,29.5,26.123,5.0551,0
3,0.57943,141,1,30,26.123,5.0551,0
3.05,0.58414,141,1,30.5,26.123,5.0551,0
3.1,0.58851,141,1,31,26.123,5.0551,0
3.15,0.59247,141,1,31.5,26.123,5.0551,0
3.2,0.59592,141,1,32,26.123,5.0551,0
3.25,0.59884,141,1,32.5,26.123,5.0551,0
3.3,0.60132,141,1,33,26.123,5.0551,0
3.35,0.60362,141,1,33.5,26.123,5.0551,0
3.4,0.60604,141,1,34,26.123,5.0551,0
