"Psi","F_Psi","PedigreeNodeId","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
0.05,0.013802,95,1,0.5,18.88,19.302,0
0.1,0.027604,95,1,1,18.88,19.302,0
0.15,0.041406,95,1,1.5,18.88,19.302,0
0.2,0.055208,95,1,2,18.88,19.302,0
0.25,0.06901,95,1,2.5,18.88,19.302,0
0.3,0.082812,95,1,3,18.88,19.302,0
0.35,0.096614,95,1,3.5,18.88,19.302,0
0.4,0.11042,95,1,4,18.88,19.302,0
0.45,0.12422,95,1,4.5,18.88,19.302,0
0.5,0.13802,95,1,5,18.88,19.302,0
0.55,0.15182,95,1,5.5,18.88,19.302,0
0.6,0.16563,95,1,6,18.88,19.302,0
0.65,0.17943,95,1,6.5,18.88,19.302,0
0.7,0.19323,95,1,7,18.88,19.302,0
0.75,0.20703,95,1,7.5,18.88,19.302,0
0.8,0.22083,95,1,8,18.88,19.302,0
0.85,0.23462,95,1,8.5,18.88,19.302,0
0.9,0.24842,95,1,9,18.88,19.302,0
0.95,0.2622,95,1,9.5,18.88,19.302,0
1,0.27599,95,1,10,18.88,19.302,0
1.05,0.28977,95,1,10.5,18.88,19.302,0
1.1,0.30354,95,1,11,18.88,19.302,0
1.15,0.31731,95,1,11.5,18.88,19.302,0
1.2,0.33108,95,1,12,18.88,19.302,0
1.25,0.34485,95,1,12.5,18.88,19.302,0
1.3,0.35862,95,1,13,18.88,19.302,0
1.35,0.37238,95,1,13.5,18.88,19.302,0
1.4,0.38616,95,1,14,18.88,19.302,0
1.45,0.39993,95,1,14.5,18.88,19.302,0
1.5,0.4137,95,1,15,18.88,19.302,0
1.55,0.42748,95,1,15.5,18.88,19.302,0
1.6,0.44126,95,1,16,18.88,19.302,0
1.65,0.45504,95,1,16.5,18.88,19.302,0
1.7,0.46883,95,1,17,18.88,19.302,0
1.75,0.48261,95,1,17.5,18.88,19.302,0
1.8,0.4964,95,1,18,18.88,19.302,0
1.85,0.51017,95,1,18.5,18.88,19.302,0
1.9,0.52394,95,1,19,18.88,19.302,0
1.95,0.53768,95,1,19.5,18.88,19.302,0
2,0.55141,95,1,20,18.88,19.302,0
2.05,0.5651,95,1,20.5,18.88,19.302,0
2.1,0.57878,95,1,21,18.88,19.302,0
