"Psi","F_Psi","PedigreeNodeId","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
0.05,0.011102,207,1,0.5,-2.0555,26.857,0
0.1,0.022205,207,1,1,-2.0555,26.857,0
0.15,0.033307,207,1,1.5,-2.0555,26.857,0
0.2,0.044409,207,1,2,-2.0555,26.857,0
0.25,0.055512,207,1,2.5,-2.0555,26.857,0
0.3,0.066614,207,1,3,-2.0555,26.857,0
0.35,0.077716,207,1,3.5,-2.0555,26.857,0
0.4,0.088817,207,1,4,-2.0555,26.857,0
0.45,0.099918,207,1,4.5,-2.0555,26.857,0
0.5,0.11102,207,1,5,-2.0555,26.857,0
0.55,0.12212,207,1,5.5,-2.0555,26.857,0
0.6,0.13322,207,1,6,-2.0555,26.857,0
0.65,0.14431,207,1,6.5,-2.0555,26.857,0
0.7,0.15541,207,1,7,-2.0555,26.857,0
0.75,0.16651,207,1,7.5,-2.0555,26.857,0
0.8,0.1776,207,1,8,-2.0555,26.857,0
0.85,0.18869,207,1,8.5,-2.0555,26.857,0
0.9,0.19978,207,1,9,-2.0555,26.857,0
0.95,0.21087,207,1,9.5,-2.0555,26.857,0
1,0.22195,207,1,10,-2.0555,26.857,0
1.05,0.23304,207,1,10.5,-2.0555,26.857,0
1.1,0.24412,207,1,11,-2.0555,26.857,0
1.15,0.2552,207,1,11.5,-2.0555,26.857,0
1.2,0.26628,207,1,12,-2.0555,26.857,0
1.25,0.27735,207,1,12.5,-2.0555,26.857,0
1.3,0.28843,207,1,13,-2.0555,26.857,0
1.35,0.2995,207,1,13.5,-2.0555,26.857,0
1.4,0.31057,207,1,14,-2.0555,26.857,0
1.45,0.32163,207,1,14.5,-2.0555,26.857,0
1.5,0.33269,207,1,15,-2.0555,26.857,0
1.55,0.34375,207,1,15.5,-2.0555,26.857,0
1.6,0.3548,207,1,16,-2.0555,26.857,0
1.65,0.36585,207,1,16.5,-2.0555,26.857,0
1.7,0.37689,207,1,17,-2.0555,26.857,0
1.75,0.38793,207,1,17.5,-2.0555,26.857,0
1.8,0.39897,207,1,18,-2.0555,26.857,0
1.85,0.41,207,1,18.5,-2.0555,26.857,0
1.9,0.42104,207,1,19,-2.0555,26.857,0
1.95,0.43207,207,1,19.5,-2.0555,26.857,0
2,0.44311,207,1,20,-2.0555,26.857,0
2.05,0.45414,207,1,20.5,-2.0555,26.857,0
2.1,0.46517,207,1,21,-2.0555,26.857,0
2.15,0.47621,207,1,21.5,-2.0555,26.857,0
2.2,0.48725,207,1,22,-2.0555,26.857,0
2.25,0.49828,207,1,22.5,-2.0555,26.857,0
2.3,0.50931,207,1,23,-2.0555,26.857,0
2.35,0.52034,207,1,23.5,-2.0555,26.857,0
2.4,0.53136,207,1,24,-2.0555,26.857,0
2.45,0.54238,207,1,24.5,-2.0555,26.857,0
2.5,0.55337,207,1,25,-2.0555,26.857,0
2.55,0.56436,207,1,25.5,-2.0555,26.857,0
2.6,0.57532,207,1,26,-2.0555,26.857,0
2.65,0.58627,207,1,26.5,-2.0555,26.857,0
2.7,0.59719,207,1,27,-2.0555,26.857,0
2.75,0.60809,207,1,27.5,-2.0555,26.857,0
2.8,0.61898,207,1,28,-2.0555,26.857,0
2.85,0.62985,207,1,28.5,-2.0555,26.857,0
2.9,0.64071,207,1,29,-2.0555,26.857,0
2.95,0.65157,207,1,29.5,-2.0555,26.857,0
3,0.66243,207,1,30,-2.0555,26.857,0
3.05,0.67329,207,1,30.5,-2.0555,26.857,0
3.1,0.68415,207,1,31,-2.0555,26.857,0
3.15,0.69503,207,1,31.5,-2.0555,26.857,0
3.2,0.70591,207,1,32,-2.0555,26.857,0
3.25,0.71682,207,1,32.5,-2.0555,26.857,0
3.3,0.72774,207,1,33,-2.0555,26.857,0
3.35,0.73869,207,1,33.5,-2.0555,26.857,0
3.4,0.74965,207,1,34,-2.0555,26.857,0
3.45,0.76064,207,1,34.5,-2.0555,26.857,0
3.5,0.77163,207,1,35,-2.0555,26.857,0
3.55,0.78264,207,1,35.5,-2.0555,26.857,0
3.6,0.79365,207,1,36,-2.0555,26.857,0
3.65,0.80467,207,1,36.5,-2.0555,26.857,0
3.7,0.81569,207,1,37,-2.0555,26.857,0
3.75,0.8267,207,1,37.5,-2.0555,26.857,0
3.8,0.83771,207,1,38,-2.0555,26.857,0
3.85,0.84871,207,1,38.5,-2.0555,26.857,0
3.9,0.85969,207,1,39,-2.0555,26.857,0
3.95,0.87066,207,1,39.5,-2.0555,26.857,0
4,0.88159,207,1,40,-2.0555,26.857,0
4.05,0.89247,207,1,40.5,-2.0555,26.857,0
4.1,0.90331,207,1,41,-2.0555,26.857,0
4.15,0.91408,207,1,41.5,-2.0555,26.857,0
4.2,0.92478,207,1,42,-2.0555,26.857,0
4.25,0.93542,207,1,42.5,-2.0555,26.857,0
4.3,0.94598,207,1,43,-2.0555,26.857,0
4.35,0.95648,207,1,43.5,-2.0555,26.857,0
4.4,0.96692,207,1,44,-2.0555,26.857,0
4.45,0.97731,207,1,44.5,-2.0555,26.857,0
4.5,0.98767,207,1,45,-2.0555,26.857,0
4.55,0.99799,207,1,45.5,-2.0555,26.857,0
4.6,1.0083,207,1,46,-2.0555,26.857,0
4.65,1.0187,207,1,46.5,-2.0555,26.857,0
4.7,1.029,207,1,47,-2.0555,26.857,0
4.75,1.0395,207,1,47.5,-2.0555,26.857,0
4.8,1.0501,207,1,48,-2.0555,26.857,0
4.85,1.0608,207,1,48.5,-2.0555,26.857,0
4.9,1.0717,207,1,49,-2.0555,26.857,0
4.95,1.0828,207,1,49.5,-2.0555,26.857,0
5,1.0941,207,1,50,-2.0555,26.857,0
5.05,1.1056,207,1,50.5,-2.0555,26.857,0
5.1,1.1173,207,1,51,-2.0555,26.857,0
5.15,1.1294,207,1,51.5,-2.0555,26.857,0
5.2,1.1417,207,1,52,-2.0555,26.857,0
5.25,1.1545,207,1,52.5,-2.0555,26.857,0
5.3,1.1679,207,1,53,-2.0555,26.857,0
5.35,1.1823,207,1,53.5,-2.0555,26.857,0
5.4,1.1981,207,1,54,-2.0555,26.857,0
5.45,1.2164,207,1,54.5,-2.0555,26.857,0
5.5,1.2387,207,1,55,-2.0555,26.857,0
5.55,1.2677,207,1,55.5,-2.0555,26.857,0
5.6,1.3076,207,1,56,-2.0555,26.857,0
5.65,1.3654,207,1,56.5,-2.0555,26.857,0
5.7,1.4512,207,1,57,-2.0555,26.857,0
